roi,Yeo_ID,Degree,Harvard-Oxford
1,1,92,Left_Lateral_Occipital_Cortex__inferior_division
2,7,75,Left_Angular_Gyrus
3,1,71,Right_Precuneous_Cortex
4,4,97,Left_Putamen
5,7,151,Left_Paracingulate_Gyrus
6,4,85,Right_Cingulate_Gyrus__posterior_division
7,6,128,Right_Angular_Gyrus
8,2,147,Left_Postcentral_Gyrus
9,0,156,None
10,1,106,None
11,7,84,Left_Middle_Temporal_Gyrus__posterior_division
12,6,125,Right_Frontal_Pole
13,4,91,Right_Paracingulate_Gyrus
14,7,101,Right_Angular_Gyrus
15,5,121,Right_Putamen
16,3,126,Left_Lateral_Occipital_Cortex__inferior_division
17,3,123,Right_Precentral_Gyrus
18,0,80,Right_Thalamus
19,7,50,Left_Precuneous_Cortex
20,4,146,Left_Insular_Cortex
21,2,96,Left_Postcentral_Gyrus
22,7,109,Right_Cingulate_Gyrus__anterior_division
23,6,112,Left_Frontal_Pole
24,2,120,Left_Planum_Temporale
25,6,142,Right_Frontal_Pole
26,1,47,Right_Lateral_Occipital_Cortex__inferior_division
27,5,128,Left_Temporal_Fusiform_Cortex__anterior_division
28,2,116,Right_Postcentral_Gyrus
29,7,43,Right_Cingulate_Gyrus__posterior_division
30,0,101,None
31,3,75,Right_Superior_Parietal_Lobule
32,5,94,Right_Temporal_Pole
33,4,115,Left_Supramarginal_Gyrus__posterior_division
34,6,49,Left_Precentral_Gyrus
35,2,137,Right_Insular_Cortex
36,3,54,None
37,1,112,Left_Thalamus
38,6,112,Right_Middle_Frontal_Gyrus
39,6,101,Right_Middle_Temporal_Gyrus__temporooccipital_part
40,6,135,Right_Cingulate_Gyrus__anterior_division
41,1,67,None
42,6,72,Left_Frontal_Pole
43,5,98,Left_Temporal_Pole
44,1,117,Right_Occipital_Pole
45,0,85,Left_Thalamus
46,7,115,Right_Cingulate_Gyrus__posterior_division
47,5,60,Left_Putamen
48,1,94,Right_Thalamus
49,7,133,Right_Middle_Temporal_Gyrus__posterior_division
50,3,70,Left_Precentral_Gyrus
51,7,13,Right_Frontal_Medial_Cortex
52,0,110,None
53,7,95,Right_Frontal_Orbital_Cortex
54,1,116,Left_Cuneal_Cortex
55,4,80,Right_Cingulate_Gyrus__anterior_division
56,7,72,Left_Angular_Gyrus
57,5,103,Left_Frontal_Orbital_Cortex
