roi,Yeo_ID,Degree,Harvard-Oxford
1,1,97,Left_Lateral_Occipital_Cortex__inferior_division
2,7,89,Left_Angular_Gyrus
3,1,85,Right_Precuneous_Cortex
4,4,92,Left_Putamen
5,7,152,Left_Paracingulate_Gyrus
6,4,98,Right_Cingulate_Gyrus__posterior_division
7,6,124,Right_Angular_Gyrus
8,2,149,Left_Postcentral_Gyrus
9,0,160,None
10,1,98,None
11,7,57,Left_Middle_Temporal_Gyrus__posterior_division
12,6,139,Right_Frontal_Pole
13,4,105,Right_Paracingulate_Gyrus
14,7,69,Right_Angular_Gyrus
15,5,130,Right_Putamen
16,3,125,Left_Lateral_Occipital_Cortex__inferior_division
17,3,110,Right_Precentral_Gyrus
18,0,91,Right_Thalamus
19,7,51,Left_Precuneous_Cortex
20,4,131,Left_Insular_Cortex
21,2,95,Left_Postcentral_Gyrus
22,7,103,Right_Cingulate_Gyrus__anterior_division
23,6,118,Left_Frontal_Pole
24,2,107,Left_Planum_Temporale
25,6,135,Right_Frontal_Pole
26,1,59,Right_Lateral_Occipital_Cortex__inferior_division
27,5,138,Left_Temporal_Fusiform_Cortex__anterior_division
28,2,131,Right_Postcentral_Gyrus
29,7,41,Right_Cingulate_Gyrus__posterior_division
30,0,101,None
31,3,78,Right_Superior_Parietal_Lobule
32,5,110,Right_Temporal_Pole
33,4,121,Left_Supramarginal_Gyrus__posterior_division
34,6,45,Left_Precentral_Gyrus
35,2,135,Right_Insular_Cortex
36,3,74,None
37,1,113,Left_Thalamus
38,6,105,Right_Middle_Frontal_Gyrus
39,6,112,Right_Middle_Temporal_Gyrus__temporooccipital_part
40,6,138,Right_Cingulate_Gyrus__anterior_division
41,1,46,None
42,6,65,Left_Frontal_Pole
43,5,83,Left_Temporal_Pole
44,1,116,Right_Occipital_Pole
45,0,104,Left_Thalamus
46,7,66,Right_Cingulate_Gyrus__posterior_division
47,5,61,Left_Putamen
48,1,91,Right_Thalamus
49,7,135,Right_Middle_Temporal_Gyrus__posterior_division
50,3,69,Left_Precentral_Gyrus
51,7,13,Right_Frontal_Medial_Cortex
52,0,96,None
53,7,86,Right_Frontal_Orbital_Cortex
54,1,127,Left_Cuneal_Cortex
55,4,97,Right_Cingulate_Gyrus__anterior_division
56,7,61,Left_Angular_Gyrus
57,5,125,Left_Frontal_Orbital_Cortex
58,7,47,Right_Precuneous_Cortex
59,4,139,Right_Insular_Cortex
60,2,104,Right_Postcentral_Gyrus
61,7,94,Left_Middle_Frontal_Gyrus
62,1,148,Right_Temporal_Fusiform_Cortex__posterior_division
63,3,117,Left_Inferior_Temporal_Gyrus__temporooccipital_part
64,3,143,Right_Superior_Frontal_Gyrus
65,2,115,Right_Postcentral_Gyrus
66,2,76,Right_Superior_Temporal_Gyrus__posterior_division
67,4,22,Left_Putamen
68,0,120,None
69,4,67,Right_Middle_Temporal_Gyrus__temporooccipital_part
70,1,63,Left_Intracalcarine_Cortex
71,7,87,Right_Frontal_Orbital_Cortex
72,7,154,Left_Middle_Temporal_Gyrus__posterior_division
73,3,82,Left_Precentral_Gyrus
74,7,92,Left_Frontal_Orbital_Cortex
75,6,151,Right_Frontal_Pole
76,4,133,Left_Cingulate_Gyrus__posterior_division
77,1,77,None
78,5,145,Left_Temporal_Pole
79,4,142,Right_Cingulate_Gyrus__anterior_division
80,0,114,None
81,1,78,Right_Cuneal_Cortex
82,7,106,Left_Lateral_Occipital_Cortex__superior_division
83,4,72,Right_Temporal_Pole
84,0,123,Left_Caudate
85,1,20,Right_Lateral_Occipital_Cortex__superior_division
86,0,59,None
87,5,60,Right_Temporal_Fusiform_Cortex__posterior_division
88,2,89,Left_Postcentral_Gyrus
89,1,122,Right_Lingual_Gyrus
90,2,113,Left_Precentral_Gyrus
91,7,37,Right_Superior_Frontal_Gyrus
92,5,95,Left_Amygdala
93,3,106,Right_Superior_Parietal_Lobule
94,0,123,Right_Caudate
95,6,132,Left_Superior_Frontal_Gyrus
96,2,109,Left_Postcentral_Gyrus
97,1,63,Left_Lateral_Occipital_Cortex__superior_division
98,2,114,Right_Precentral_Gyrus
99,6,135,Left_Middle_Temporal_Gyrus__temporooccipital_part
100,3,72,Right_Inferior_Temporal_Gyrus__temporooccipital_part
101,7,62,Left_Middle_Temporal_Gyrus__anterior_division
102,1,113,Right_Lateral_Occipital_Cortex__inferior_division
103,1,109,None
104,7,86,Left_Frontal_Pole
105,1,135,Right_Lingual_Gyrus
106,7,101,Right_Frontal_Pole
107,7,85,Right_Superior_Temporal_Gyrus__posterior_division
108,1,95,Left_Occipital_Pole
109,7,49,Right_Frontal_Pole
110,5,118,Right_Temporal_Pole
111,2,53,Right_Precentral_Gyrus
112,5,55,Left_Frontal_Orbital_Cortex
113,6,119,Right_Frontal_Pole
114,3,160,Left_Lateral_Occipital_Cortex__superior_division
115,6,78,Right_Precentral_Gyrus
116,3,134,Left_Supramarginal_Gyrus__anterior_division
117,7,160,Left_Middle_Temporal_Gyrus__temporooccipital_part
118,1,121,None
119,4,136,Right_Central_Opercular_Cortex
120,1,63,None
121,2,63,Left_Central_Opercular_Cortex
122,1,137,Left_Temporal_Fusiform_Cortex__posterior_division
123,2,50,Right_Precentral_Gyrus
124,6,132,Right_Frontal_Pole
125,4,134,Left_Frontal_Pole
126,1,120,None
127,6,104,Right_Middle_Frontal_Gyrus
128,4,67,Right_Supramarginal_Gyrus__posterior_division
129,7,7,Left_Temporal_Pole
130,0,68,None
131,1,100,Left_Occipital_Pole
132,3,109,Right_Lateral_Occipital_Cortex__superior_division
133,7,102,Left_Frontal_Pole
134,2,23,Right_Precentral_Gyrus
135,0,108,Right_Caudate
136,3,82,Left_Lateral_Occipital_Cortex__superior_division
137,4,105,Right_Insular_Cortex
138,1,88,Right_Occipital_Fusiform_Gyrus
139,7,73,Right_Frontal_Pole
140,7,81,Right_Middle_Temporal_Gyrus__anterior_division
141,7,71,Left_Inferior_Frontal_Gyrus__pars_triangularis
142,1,144,Right_Occipital_Pole
143,3,68,Right_Lateral_Occipital_Cortex__inferior_division
144,7,68,Right_Inferior_Frontal_Gyrus__pars_triangularis
145,5,134,Left_Hippocampus
146,2,124,Left_Central_Opercular_Cortex
147,1,23,Left_Precuneous_Cortex
148,0,116,Right_Thalamus
149,6,148,Right_Superior_Frontal_Gyrus
150,1,110,Left_Lateral_Occipital_Cortex__inferior_division
151,6,161,Left_Middle_Frontal_Gyrus
152,1,120,None
153,7,64,Right_Superior_Temporal_Gyrus__anterior_division
154,2,38,Left_Postcentral_Gyrus
155,5,116,Right_Hippocampus
156,3,87,Left_Superior_Parietal_Lobule
157,2,120,Right_Postcentral_Gyrus
158,1,138,Left_Occipital_Pole
159,1,42,Left_Occipital_Fusiform_Gyrus
160,5,131,Right_Subcallosal_Cortex
161,4,69,Right_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex
162,1,122,None
163,3,119,Right_Precuneous_Cortex
164,6,82,Right_Inferior_Frontal_Gyrus__pars_opercularis
165,4,84,Left_Precentral_Gyrus
166,7,114,Right_Lateral_Occipital_Cortex__superior_division
167,7,114,Left_Frontal_Pole
168,4,48,Right_Frontal_Pole
169,6,96,Left_Frontal_Pole
170,1,93,Right_Lateral_Occipital_Cortex__superior_division
171,3,99,Left_Postcentral_Gyrus
172,1,120,Right_Temporal_Occipital_Fusiform_Cortex
173,7,106,Left_Superior_Frontal_Gyrus
174,7,123,Right_Precuneous_Cortex
175,1,99,Right_Occipital_Fusiform_Gyrus
176,0,99,None
177,1,72,Left_Lingual_Gyrus
178,0,91,Right_Putamen
179,1,98,Left_Lingual_Gyrus
180,4,74,Right_Supramarginal_Gyrus__anterior_division
181,7,134,Right_Temporal_Pole
182,4,78,Left_Superior_Frontal_Gyrus
183,6,115,Left_Frontal_Pole
184,4,78,Left_Central_Opercular_Cortex
185,2,128,Right_Parietal_Operculum_Cortex
186,7,123,Right_Frontal_Pole
187,7,115,Right_Superior_Frontal_Gyrus
188,3,49,Left_Superior_Parietal_Lobule
189,1,127,Left_Temporal_Occipital_Fusiform_Cortex
190,1,154,None
191,7,110,Left_Superior_Frontal_Gyrus
192,1,25,None
193,7,133,Right_Frontal_Pole
194,0,145,None
195,1,135,Right_Lingual_Gyrus
196,7,52,Left_Temporal_Pole
197,3,63,Left_Precuneous_Cortex
